0,000	0,678	1,000
0,049	-0,358	0,999
0,098	0,893	0,995
0,147	0,766	0,989
0,195	0,481	0,981
0,243	0,179	0,970
0,290	-0,318	0,957
0,337	-0,934	0,942
0,383	-0,318	0,924
0,428	0,614	0,904
0,471	0,792	0,882
0,514	0,117	0,858
0,556	-0,762	0,831
0,596	-0,306	0,803
0,634	-0,436	0,773
0,672	0,766	0,741
0,707	-0,576	0,707
0,741	0,730	0,672
0,773	0,206	0,634
0,803	-0,025	0,596
0,831	0,513	0,556
0,858	-0,785	0,514
0,882	0,816	0,471
0,904	-0,365	0,428
0,924	0,729	0,383
0,942	0,927	0,337
0,957	0,649	0,290
0,970	-0,701	0,243
0,981	-0,825	0,195
0,989	-0,293	0,147
0,995	-0,761	0,098
0,999	-0,343	0,049
1,000	-0,623	-0,000
0,999	0,302	-0,049
0,995	-0,911	-0,098
0,989	0,136	-0,147
0,981	-0,679	-0,195
0,970	-0,348	-0,243
0,957	-0,934	-0,290
0,942	0,319	-0,337
0,924	0,571	-0,383
0,904	-0,585	-0,428
0,882	-0,889	-0,471
0,858	0,218	-0,514
0,831	0,994	-0,556
0,803	-0,504	-0,596
0,773	-0,218	-0,634
0,741	-0,701	-0,672
0,707	-0,886	-0,707
0,672	0,874	-0,741
0,634	0,042	-0,773
0,596	-0,924	-0,803
0,556	-0,693	-0,831
0,514	-0,318	-0,858
0,471	-0,368	-0,882
0,428	0,460	-0,904
0,383	-0,105	-0,924
0,337	0,199	-0,942
0,290	-0,546	-0,957
0,243	-0,024	-0,970
0,195	-0,465	-0,981
0,147	0,974	-0,989
0,098	0,301	-0,995
0,049	0,018	-0,999
0,000	-0,007	-1,000
-0,049	0,647	-0,999
-0,098	0,189	-0,995
-0,147	0,941	-0,989
-0,195	0,693	-0,981
-0,243	-0,376	-0,970
-0,290	-0,700	-0,957
-0,337	-0,267	-0,942
-0,383	0,871	-0,924
-0,428	0,378	-0,904
-0,471	-0,476	-0,882
-0,514	0,024	-0,858
-0,556	-0,146	-0,831
-0,596	-0,244	-0,803
-0,634	-0,429	-0,773
-0,672	0,686	-0,741
-0,707	0,362	-0,707
-0,741	0,029	-0,672
-0,773	0,236	-0,634
-0,803	0,838	-0,596
-0,831	0,643	-0,556
-0,858	-0,290	-0,514
-0,882	-0,272	-0,471
-0,904	-0,341	-0,428
-0,924	0,971	-0,383
-0,942	0,074	-0,337
-0,957	0,050	-0,290
-0,970	-0,229	-0,243
-0,981	-0,736	-0,195
-0,989	-0,538	-0,147
-0,995	0,009	-0,098
-0,999	-0,969	-0,049
-1,000	-0,203	0,000
-0,999	0,217	0,049
-0,995	-0,181	0,098
-0,989	-0,673	0,147
-0,981	0,053	0,195
-0,970	0,065	0,243
-0,957	0,545	0,290
-0,942	-0,938	0,337
-0,924	0,979	0,383
-0,904	-0,859	0,428
-0,882	0,398	0,471
-0,858	0,408	0,514
-0,831	0,395	0,556
-0,803	-0,789	0,596
-0,773	0,479	0,634
-0,741	0,402	0,672
-0,707	-0,986	0,707
-0,672	0,691	0,741
-0,634	-0,942	0,773
-0,596	-0,671	0,803
-0,556	0,821	0,831
-0,514	0,720	0,858
-0,471	0,542	0,882
-0,428	-0,718	0,904
-0,383	-0,029	0,924
-0,337	0,620	0,942
-0,290	-0,444	0,957
-0,243	-0,354	0,970
-0,195	-0,854	0,981
-0,147	0,446	0,989
-0,098	-0,269	0,995
-0,049	0,475	0,999
