0,000	-0,720	1,000
0,049	0,715	0,999
0,098	-0,963	0,995
0,147	-0,444	0,989
0,195	-0,790	0,981
0,243	0,083	0,970
0,290	-0,270	0,957
0,337	0,804	0,942
0,383	0,791	0,924
0,428	-0,112	0,904
0,471	-0,269	0,882
0,514	-0,577	0,858
0,556	0,969	0,831
0,596	-0,831	0,803
0,634	0,887	0,773
0,672	-0,870	0,741
0,707	-0,260	0,707
0,741	0,744	0,672
0,773	-0,378	0,634
0,803	0,309	0,596
0,831	-0,710	0,556
0,858	0,350	0,514
0,882	0,253	0,471
0,904	0,214	0,428
0,924	-0,946	0,383
0,942	0,303	0,337
0,957	-0,457	0,290
0,970	0,063	0,243
0,981	-0,955	0,195
0,989	-0,216	0,147
0,995	0,722	0,098
0,999	0,814	0,049
1,000	-0,118	-0,000
0,999	-0,306	-0,049
0,995	0,525	-0,098
0,989	-0,753	-0,147
0,981	-0,610	-0,195
0,970	-0,157	-0,243
0,957	0,813	-0,290
0,942	-0,742	-0,337
0,924	0,328	-0,383
0,904	-0,918	-0,428
0,882	-0,439	-0,471
0,858	0,575	-0,514
0,831	0,507	-0,556
0,803	-0,441	-0,596
0,773	-0,546	-0,634
0,741	0,540	-0,672
0,707	0,209	-0,707
0,672	-0,491	-0,741
0,634	-0,723	-0,773
0,596	0,446	-0,803
0,556	0,791	-0,831
0,514	-0,181	-0,858
0,471	-0,370	-0,882
0,428	-0,113	-0,904
0,383	-0,968	-0,924
0,337	-0,464	-0,942
0,290	0,093	-0,957
0,243	-0,461	-0,970
0,195	-0,394	-0,981
0,147	-0,514	-0,989
0,098	0,588	-0,995
0,049	-0,366	-0,999
0,000	-0,344	-1,000
-0,049	-0,941	-0,999
-0,098	-0,037	-0,995
-0,147	0,743	-0,989
-0,195	0,496	-0,981
-0,243	-0,834	-0,970
-0,290	0,780	-0,957
-0,337	0,191	-0,942
-0,383	-0,923	-0,924
-0,428	0,425	-0,904
-0,471	0,664	-0,882
-0,514	0,534	-0,858
-0,556	0,011	-0,831
-0,596	0,082	-0,803
-0,634	-0,109	-0,773
-0,672	0,448	-0,741
-0,707	0,723	-0,707
-0,741	0,506	-0,672
-0,773	0,772	-0,634
-0,803	-0,841	-0,596
-0,831	-0,142	-0,556
-0,858	-0,498	-0,514
-0,882	0,089	-0,471
-0,904	-0,888	-0,428
-0,924	-0,752	-0,383
-0,942	-0,567	-0,337
-0,957	-0,068	-0,290
-0,970	0,598	-0,243
-0,981	0,739	-0,195
-0,989	0,833	-0,147
-0,995	-0,535	-0,098
-0,999	-0,149	-0,049
-1,000	-0,422	0,000
-0,999	0,295	0,049
-0,995	0,820	0,098
-0,989	0,227	0,147
-0,981	-0,278	0,195
-0,970	0,648	0,243
-0,957	0,171	0,290
-0,942	-0,794	0,337
-0,924	-0,387	0,383
-0,904	0,832	0,428
-0,882	-0,359	0,471
-0,858	0,161	0,514
-0,831	-0,662	0,556
-0,803	0,859	0,596
-0,773	-0,942	0,634
-0,741	0,442	0,672
-0,707	0,766	0,707
-0,672	0,367	0,741
-0,634	-0,030	0,773
-0,596	0,864	0,803
-0,556	-0,707	0,831
-0,514	0,495	0,858
-0,471	-0,900	0,882
-0,428	0,707	0,904
-0,383	-0,872	0,924
-0,337	-0,852	0,942
-0,290	-0,906	0,957
-0,243	-0,846	0,970
-0,195	-0,984	0,981
-0,147	0,254	0,989
-0,098	-0,168	0,995
-0,049	-0,662	0,999
